epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,496.957,1.7702,3.33946,1.66702,0.00631,0.66307,0.07757,0.03462,1.5311,3.38743,1.54417,0.00198462,0.000661538,0.00198462,0.000661538,0.00198462,0.000661538,0.00198462,0.000661538
2,750.683,1.47018,2.96872,1.44257,0.49787,0.24259,0.24504,0.14041,1.3915,2.81732,1.36227,0.00390572,0.00130191,0.00390572,0.00130191,0.00390572,0.00130191,0.00390572,0.00130191
3,966.985,1.42449,2.40346,1.35417,0.58898,0.44474,0.45997,0.26117,1.44829,2.27786,1.37589,0.00574762,0.00191587,0.00574762,0.00191587,0.00574762,0.00191587,0.00574762,0.00191587
4,1137.56,1.39562,2.05742,1.30518,0.60704,0.51213,0.56073,0.32441,1.34496,2.05412,1.30469,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,1328.61,1.3677,1.85972,1.29588,0.70877,0.54717,0.61255,0.36894,1.28552,1.88699,1.26921,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,1501.76,1.34177,1.77398,1.27514,0.74008,0.55256,0.65447,0.39987,1.24209,1.79613,1.23367,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,1684.38,1.33587,1.67312,1.25468,0.71557,0.59838,0.67466,0.41469,1.2431,1.68471,1.22193,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,1878.02,1.32489,1.69481,1.28385,0.7254,0.58491,0.66915,0.41578,1.23748,1.66447,1.21902,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,2154.23,1.25634,1.57737,1.23942,0.74512,0.5903,0.70729,0.43558,1.23225,1.57955,1.21951,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,2336.61,1.25183,1.53224,1.23261,0.71165,0.63861,0.72365,0.44724,1.23495,1.57105,1.23077,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
